"created_at","full_text","username"
Tue Jun 11 15:01:34 +0000 2024,"Sejarah telah dibuat!!! ðŸ‡®ðŸ‡© Terima kasih Timnas Indonesia malam ini kalian bikin bangga kami. Lolos ke R3 QWC 2026 Lolos ke Asian Cup 2027 Satu kata untuk Timnas Indonesia malam ini? ðŸ‡®ðŸ‡©ï¸ #TimnasDay #AsianQualifiers #KitaGaruda https://t.co/oquqv23PAS","andriandinoraa"
Thu Jan 25 17:01:08 +0000 2024," OFFICIAL TIMNAS ðŸ‡®ðŸ‡©INDONESIA LOLOS KE BABAK 16 BESAR PIALA ASIA 2024 SKUAT GARUDA DIPASTIKAN LOLOS DARI FASE GRUP SEBAGAI EMPAT 3RD PLACE TERBAIK! KEPASTIAN DIDAPAT SETELAH POSISI TIMNAS INDONESIA DI KLASEMEN 3RD PLACE TERBAIK BERADA DI POSISI KE-4 DUA DARI https://t.co/xUoj0vEmY8","Indostransfer"
Tue Jun 11 15:02:15 +0000 2024,"Road map Piala Dunia 2026 Perjalanan Timnas Indonesia lolos ke Piala dunia https://t.co/Z51MgU0lR0","Jateng_Twit"
Mon Jun 10 13:59:07 +0000 2024,"Jay Idzes untuk pertandingan penentuan melawan Filipina: Bagi saya pribadi saya hanya ingin membantu timnas Indonesia dengan cara apa pun yang memungkinkan. jika saya misalnya harus bermain sebagai kiper atau striker itu tidak masalah. [Wawancara di situs resmi FIFA] https://t.co/27V7OqZ4mR","gilabola_ina"
Thu Jun 06 10:01:15 +0000 2024," Ketat. #KitaGaruda #TimnasDay #TimnasIndonesiaMandiri https://t.co/wSLCBkGOih","TimnasIndonesia"
Tue Jan 30 08:33:53 +0000 2024,"Kadang heran juga kok bisa Timnas main kaya gini njir #Blibli @bliblidotcom https://t.co/hr1mkfbML4","utdfocusid"
Fri Jun 16 16:46:44 +0000 2023,"Selamat datang Timnas Argentina di Indonesia! Foto 1: Alejandro Garnacho (Manchester United) Foto 2: Enzo Fernandez (Chelsea) Foto 3: Julian Alvarez (Manchester City) Foto 4: Alexis Mac Allister Sampai berjumpa di Stadion Gelora Bung Karno ðŸ‡²ðŸ‡¨ðŸ‡¦ðŸ‡· https://t.co/JcMKX0Q1iE","erickthohir"
Tue Mar 28 16:28:52 +0000 2023,"Sebelum berangkat ke bandara dari Stadion Patriot Candrabhaga saya dan para pemain Timnas U20 berdoa bersama untuk sepak bola Indonesia. Terima kasih atas dukungan dan kepercayaannya. Insya Allah esok saya akan berjuang sebaik mungkin untuk masa depan sepak bola Indonesia. https://t.co/H4F4XiyMhB","erickthohir"
Tue Mar 28 23:26:20 +0000 2023,"Detik-detik Nopel Baukmin yang membabi-buta menolak kedatangan timnas Israel ke Indonesia kena skakmat oleh pengamat sepak bola di Tv One. Jadi ketakar level pengetahuan seorang pentolan FPI yang paling getol kampanye bela Islam https://t.co/v1n90z4FEQ","Pencerah___"
Wed Sep 13 01:06:17 +0000 2023," RESMI: 16 tim yg akan mengikuti Piala Asia U23 2024! ðŸ‡®ðŸ‡© Timnas Indonesia tergabung di Pot 4. Untuk fase grup Indonesia akan berhadapan dgn satu tim dari Pot 1 satu tim dari Pot 2 dan satu tim dari Pot 3. Kira-kira Indonesia akan satu grup dengan siapa? Tanggal drawing https://t.co/BWVylLOMOv","FaktaSepakbola"
